                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 0.9341,                 2.0323,                 1.4693,                0.50762,                0.58364,                0.67841,                0.43453,                  1.486,                 1.3868,                 2.1209,             0.00017572,             0.00017572,             0.00017572
                     64,                0.83815,                 1.8341,                 1.4091,                0.48673,                0.63636,                0.71459,                0.46706,                 1.4729,                 1.3567,                 2.1324,             0.00017122,             0.00017122,             0.00017122
                     65,                0.84933,                 1.9547,                 1.4347,                0.65883,                0.63636,                0.71394,                0.45232,                 1.4193,                 1.3371,                 2.0958,             0.00016671,             0.00016671,             0.00016671
                     66,                 0.8408,                 1.8862,                 1.3685,                  0.544,                0.63636,                0.83218,                0.52617,                 1.3792,                  1.366,                 2.0707,             0.00016221,             0.00016221,             0.00016221
                     67,                 0.8263,                 1.8391,                 1.4521,                0.49752,                0.72727,                0.77188,                0.47475,                 1.3804,                 1.3822,                 2.0831,              0.0001577,              0.0001577,              0.0001577
                     68,                0.82141,                 1.8355,                 1.3905,                0.56575,                0.63636,                0.76886,                0.49661,                 1.4684,                 1.3159,                 2.2882,              0.0001532,              0.0001532,              0.0001532
                     69,                0.83636,                 1.9386,                 1.4702,                0.61772,                0.63636,                0.73369,                0.44117,                 1.5214,                 1.3215,                 2.3876,             0.00014869,             0.00014869,             0.00014869
                     70,                0.78414,                 1.7674,                 1.3302,                0.46651,                0.76853,                0.73656,                0.42449,                 1.5826,                  1.319,                  2.431,             0.00014419,             0.00014419,             0.00014419
                     71,                0.78686,                 1.7246,                 1.3619,                0.45394,                0.71845,                0.73871,                0.40537,                 1.5699,                 1.3277,                 2.3859,             0.00013969,             0.00013969,             0.00013969
                     72,                0.76717,                 1.6891,                 1.3717,                0.43775,                0.66742,                0.66585,                0.38691,                 1.5709,                 1.3726,                 2.3816,             0.00013518,             0.00013518,             0.00013518
                     73,                0.78365,                 1.6908,                 1.3219,                0.62619,                0.61311,                0.69887,                0.41162,                 1.5482,                 1.3687,                 2.3331,             0.00013068,             0.00013068,             0.00013068
                     74,                0.79279,                 1.7627,                  1.417,                  0.597,                0.58314,                0.65522,                0.39063,                 1.4773,                  1.328,                 2.2439,             0.00012617,             0.00012617,             0.00012617
                     75,                0.72596,                 1.6572,                 1.3393,                 0.5755,                0.56079,                0.75163,                0.45622,                 1.4622,                 1.2863,                 2.2491,             0.00012167,             0.00012167,             0.00012167
                     76,                0.83852,                 1.7533,                 1.4245,                0.49271,                0.64013,                0.79298,                0.47844,                 1.4731,                 1.2717,                 2.3178,             0.00011716,             0.00011716,             0.00011716
                     77,                0.77001,                 1.8037,                 1.3363,                0.51308,                0.64518,                0.79449,                0.48013,                 1.4569,                 1.2506,                 2.2856,             0.00011266,             0.00011266,             0.00011266
                     78,                0.82277,                  1.827,                 1.4004,                0.50483,                0.82167,                0.88947,                0.53359,                 1.4302,                 1.1811,                 2.1909,             0.00010815,             0.00010815,             0.00010815
                     79,                0.75431,                 1.6371,                  1.262,                0.53221,                0.90909,                0.90455,                0.53601,                 1.4462,                 1.1342,                 2.1663,             0.00010365,             0.00010365,             0.00010365
                     80,                0.72501,                 1.6216,                 1.3356,                 0.5839,                0.90909,                0.90455,                0.53242,                 1.4257,                 1.0913,                  2.139,             9.9144e-05,             9.9144e-05,             9.9144e-05
                     81,                0.69216,                 1.7262,                 1.3223,                0.59744,                0.90909,                0.94977,                 0.5633,                 1.4145,                 1.0621,                 2.1482,              9.464e-05,              9.464e-05,              9.464e-05
                     82,                0.74128,                 1.6877,                 1.3169,                0.59464,                0.90909,                0.94977,                0.58112,                 1.4407,                 1.0454,                 2.2194,             9.0135e-05,             9.0135e-05,             9.0135e-05
                     83,                0.69025,                 1.6618,                 1.3357,                0.58389,                0.90748,                0.85932,                0.52731,                 1.4592,                 1.0393,                 2.2521,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     84,                0.63628,                 1.5201,                 1.2996,                0.62832,                0.81818,                0.85932,                 0.5195,                 1.4876,                 1.1022,                 2.2608,             8.1127e-05,             8.1127e-05,             8.1127e-05
                     85,                0.75146,                  1.647,                 1.3015,                0.67119,                0.75947,                0.85932,                0.51982,                 1.5028,                 1.1114,                 2.2266,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     86,                0.67989,                  1.605,                 1.2875,                 0.6665,                0.79556,                0.82917,                0.49093,                  1.527,                  1.152,                 2.2053,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     87,                0.72741,                 1.6865,                 1.3162,                0.65486,                 0.8008,                0.82917,                  0.484,                 1.5193,                  1.163,                 2.1971,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     88,                0.73284,                 1.6261,                 1.2793,                0.73154,                0.65683,                0.82917,                0.52196,                 1.4708,                 1.1628,                 2.1793,             6.3109e-05,             6.3109e-05,             6.3109e-05
                     89,                0.66304,                 1.5013,                 1.3043,                0.73252,                0.64699,                0.82917,                0.52631,                 1.4569,                 1.1564,                 2.1667,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     90,                0.66822,                 1.6601,                 1.2936,                0.65512,                0.66002,                0.75756,                0.50881,                 1.4215,                 1.1154,                 2.1692,             5.4099e-05,             5.4099e-05,             5.4099e-05
                     91,                 1.0426,                 3.6908,                 1.5766,                0.67515,                0.65784,                0.75379,                0.49424,                 1.4376,                 1.1171,                 2.2081,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     92,                 1.0793,                 3.6296,                   1.61,                0.65416,                0.68336,                0.79902,                0.49869,                 1.4395,                 1.0878,                 2.2812,              4.509e-05,              4.509e-05,              4.509e-05
                     93,                0.92702,                 3.5227,                 1.4553,                0.66328,                0.73531,                0.84424,                0.51976,                  1.435,                  1.069,                 2.2881,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     94,                0.96977,                 3.3474,                 1.4783,                0.65958,                0.75064,                0.84424,                0.52848,                 1.4178,                 1.0538,                 2.2776,             3.6081e-05,             3.6081e-05,             3.6081e-05
                     95,                0.95912,                 3.4701,                 1.5481,                0.65119,                0.76908,                0.84424,                0.52888,                 1.4144,                 1.0457,                 2.2678,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     96,                0.84193,                 3.1636,                 1.3648,                0.65295,                0.77861,                0.84424,                0.51942,                 1.4117,                 1.0368,                 2.2894,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     97,                0.84388,                 3.1513,                 1.3926,                0.64317,                0.77935,                0.84424,                0.51091,                 1.4065,                 1.0339,                 2.2958,             2.2568e-05,             2.2568e-05,             2.2568e-05
                     98,                0.90442,                 3.0993,                 1.4416,                0.63274,                0.78403,                0.84424,                0.51382,                 1.4061,                 1.0466,                 2.3242,             1.8064e-05,             1.8064e-05,             1.8064e-05
                     99,                0.79593,                 3.1762,                 1.4412,                0.62709,                0.79217,                0.84424,                0.52278,                  1.405,                 1.0648,                 2.3252,             1.3559e-05,             1.3559e-05,             1.3559e-05
                    100,                 0.9232,                  3.551,                 1.4696,                0.61447,                0.78901,                0.84424,                0.52286,                 1.4061,                 1.1056,                 2.3522,             9.0545e-06,             9.0545e-06,             9.0545e-06
